score,Action,Adventure,Avant Garde,Award Winning,Boys Love,Comedy,Drama,Ecchi,Fantasy,Girls Love,Gourmet,Horror,Mystery,Romance,Sci-Fi,Slice of Life,Sports,Supernatural,Suspense
7.13,7.0,4.0,0.0,0.0,1.0,8.0,6.0,3.0,6.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,0.0,3.0,0.0
7.14,6.0,2.0,0.0,0.0,0.0,19.0,4.0,4.0,8.0,0.0,0.0,1.0,1.0,19.0,4.0,6.0,0.0,5.0,0.0
7.15,6.0,2.0,0.0,0.0,1.0,6.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,6.0,3.0,4.0,0.0,1.0,0.0
7.16,6.0,6.0,0.0,0.0,2.0,7.0,7.0,3.0,4.0,1.0,0.0,1.0,3.0,12.0,3.0,2.0,1.0,3.0,0.0
7.17,3.0,5.0,0.0,1.0,1.0,18.0,5.0,3.0,7.0,0.0,0.0,2.0,0.0,15.0,2.0,2.0,1.0,4.0,0.0
7.18,3.0,5.0,0.0,1.0,2.0,11.0,4.0,2.0,4.0,1.0,0.0,1.0,3.0,8.0,1.0,2.0,0.0,6.0,0.0
7.19,7.0,4.0,0.0,0.0,1.0,12.0,6.0,0.0,6.0,2.0,0.0,0.0,3.0,15.0,1.0,4.0,0.0,3.0,0.0
7.2,6.0,5.0,0.0,0.0,1.0,8.0,6.0,3.0,4.0,0.0,1.0,0.0,2.0,11.0,6.0,5.0,0.0,4.0,0.0
7.21,8.0,2.0,0.0,1.0,3.0,4.0,6.0,1.0,3.0,0.0,0.0,2.0,1.0,5.0,3.0,2.0,0.0,7.0,0.0
7.22,1.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,4.0,0.0
7.23,1.0,1.0,0.0,0.0,4.0,5.0,13.0,2.0,5.0,2.0,0.0,0.0,2.0,15.0,1.0,1.0,0.0,5.0,0.0
7.24,10.0,7.0,0.0,0.0,1.0,8.0,9.0,2.0,16.0,1.0,1.0,4.0,2.0,14.0,2.0,5.0,0.0,7.0,0.0
7.25,2.0,0.0,0.0,1.0,1.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0
7.26,10.0,0.0,0.0,0.0,0.0,14.0,7.0,1.0,4.0,2.0,0.0,2.0,0.0,6.0,5.0,4.0,0.0,6.0,1.0
7.27,10.0,4.0,0.0,1.0,1.0,11.0,7.0,1.0,6.0,0.0,0.0,1.0,1.0,12.0,4.0,5.0,0.0,6.0,1.0
7.28,5.0,3.0,0.0,3.0,1.0,9.0,11.0,2.0,5.0,0.0,1.0,1.0,4.0,11.0,5.0,5.0,1.0,5.0,0.0
7.29,3.0,2.0,0.0,1.0,4.0,4.0,2.0,1.0,6.0,0.0,0.0,1.0,1.0,6.0,2.0,2.0,1.0,4.0,1.0
7.3,6.0,4.0,0.0,0.0,0.0,6.0,9.0,0.0,8.0,0.0,1.0,1.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0
7.31,1.0,3.0,0.0,0.0,2.0,18.0,7.0,1.0,7.0,3.0,0.0,2.0,2.0,9.0,2.0,9.0,1.0,5.0,0.0
7.32,11.0,1.0,0.0,1.0,1.0,7.0,5.0,2.0,6.0,1.0,0.0,2.0,4.0,5.0,4.0,3.0,3.0,7.0,0.0
7.33,1.0,1.0,0.0,1.0,2.0,8.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,2.0,4.0,2.0,3.0,1.0
7.34,4.0,1.0,0.0,2.0,1.0,7.0,4.0,1.0,1.0,2.0,0.0,2.0,1.0,6.0,1.0,8.0,1.0,1.0,0.0
7.35,3.0,2.0,0.0,2.0,1.0,8.0,10.0,0.0,3.0,0.0,0.0,2.0,2.0,11.0,3.0,1.0,1.0,5.0,0.0
7.36,5.0,3.0,0.0,1.0,1.0,9.0,7.0,1.0,5.0,0.0,0.0,0.0,1.0,5.0,2.0,0.0,0.0,4.0,0.0
7.37,6.0,2.0,1.0,0.0,1.0,14.0,6.0,1.0,9.0,4.0,0.0,2.0,1.0,11.0,2.0,7.0,2.0,5.0,0.0
7.38,3.0,3.0,0.0,0.0,1.0,13.0,9.0,0.0,6.0,0.0,0.0,0.0,4.0,10.0,2.0,4.0,1.0,2.0,0.0
7.39,4.0,1.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,4.0,3.0,0.0,2.0,1.0
7.4,7.0,3.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,0.0,1.0,0.0,5.0,6.0,1.0,0.0,1.0,5.0,0.0
7.41,5.0,1.0,0.0,1.0,1.0,11.0,7.0,2.0,5.0,1.0,0.0,1.0,0.0,9.0,2.0,3.0,0.0,4.0,0.0
7.42,1.0,2.0,0.0,0.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0
7.43,4.0,1.0,1.0,1.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,3.0,2.0,0.0,4.0,1.0
7.44,7.0,4.0,0.0,1.0,1.0,9.0,10.0,2.0,8.0,1.0,0.0,2.0,3.0,8.0,3.0,4.0,0.0,3.0,0.0
7.45,2.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,4.0,2.0,1.0,0.0,0.0,4.0,1.0,10.0,1.0,2.0,0.0
7.46,4.0,3.0,0.0,1.0,1.0,7.0,3.0,0.0,2.0,0.0,0.0,2.0,4.0,4.0,1.0,2.0,0.0,5.0,0.0
7.47,4.0,1.0,0.0,0.0,1.0,4.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,2.0,3.0,0.0
7.48,1.0,3.0,0.0,3.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0
7.49,6.0,2.0,0.0,3.0,1.0,12.0,6.0,2.0,8.0,0.0,0.0,1.0,1.0,15.0,0.0,4.0,0.0,4.0,0.0
7.5,4.0,1.0,0.0,0.0,0.0,6.0,4.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0
7.51,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0
7.52,1.0,1.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0
7.53,4.0,1.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,1.0,0.0
7.54,4.0,1.0,0.0,0.0,1.0,5.0,4.0,1.0,4.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,0.0,4.0,2.0
7.55,4.0,4.0,0.0,0.0,2.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0
7.56,5.0,2.0,0.0,2.0,2.0,5.0,3.0,1.0,5.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,0.0
7.57,1.0,0.0,0.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,3.0,0.0
7.58,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0
7.59,4.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,2.0,0.0
7.6,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
7.61,4.0,0.0,1.0,0.0,1.0,3.0,5.0,1.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,4.0,1.0
7.62,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7.63,1.0,2.0,0.0,1.0,1.0,7.0,5.0,0.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0
7.64,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
7.65,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
7.66,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0
7.67,4.0,1.0,0.0,2.0,0.0,9.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0,0.0,3.0,1.0
7.68,2.0,2.0,0.0,0.0,1.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0,1.0,7.0,2.0,4.0,0.0,2.0,0.0
7.69,1.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0
7.71,5.0,1.0,0.0,4.0,2.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,1.0,2.0,0.0
7.72,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0
7.73,1.0,0.0,0.0,2.0,0.0,5.0,3.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
7.74,3.0,2.0,0.0,1.0,2.0,5.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,0.0
7.75,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
7.76,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
